version,window_years,start,end,cagr,sharpe,volatility,max_drawdown,avg_bil_weight
ensemble_risk_balanced,3,2010-06-02,2013-06-03,0.06602422404378316,1.1011091697945554,0.05968856476707539,-0.04677703749722861,0.23842364443050687
ensemble_risk_balanced,3,2010-07-01,2013-07-02,0.05756641900809556,0.9514402776152037,0.06077280883653842,-0.052844355715465974,0.24832702484648117
ensemble_risk_balanced,3,2010-08-02,2013-08-01,0.0603050415444053,0.9971967466793397,0.06056570410581401,-0.05284435571546653,0.25980528515678836
ensemble_risk_balanced,3,2010-08-31,2013-08-30,0.04993661561135476,0.8368665007584597,0.06041318219766996,-0.05284435571546631,0.27446673784334036
ensemble_risk_balanced,3,2010-09-30,2013-10-01,0.04333208415636847,0.7362669282931699,0.06006722699562828,-0.05284435571546631,0.2872797389900724
ensemble_risk_balanced,3,2010-10-29,2013-10-30,0.04438400182855129,0.7723449872182531,0.05844162348920709,-0.05284435571546586,0.2986814703585558
ensemble_risk_balanced,3,2010-11-30,2013-11-29,0.04514387341593307,0.8347610439421401,0.054689320765845366,-0.05284435571546631,0.31276156140011213
ensemble_risk_balanced,3,2010-12-30,2013-12-31,0.037816179068702827,0.7138901360390143,0.05404243026247163,-0.052844355715465974,0.3241204989272559
ensemble_risk_balanced,3,2011-01-31,2014-01-31,0.03284150330012592,0.6284071404071621,0.05371897819120992,-0.05284435571546564,0.33590112819402485
ensemble_risk_balanced,3,2011-03-02,2014-03-04,0.02947709600261761,0.5782026886638019,0.05264082863056463,-0.05284435571546642,0.34357406501784715
ensemble_risk_balanced,3,2011-03-31,2014-04-02,0.026247567259791937,0.5372688785203318,0.05060731537960156,-0.05284435571546686,0.3472015452253781
ensemble_risk_balanced,3,2011-05-02,2014-05-02,0.017828677581844365,0.38001087219935226,0.04975956549917846,-0.05284435571546586,0.3481601222362003
ensemble_risk_balanced,3,2011-06-01,2014-06-03,0.020482086010287892,0.44615820367132963,0.04802814464241267,-0.052844355715466085,0.35088725945753313
ensemble_risk_balanced,3,2011-06-30,2014-07-02,0.03079707739408888,0.6666289324331622,0.0471709146496407,-0.052844355715466085,0.35430919467173205
ensemble_risk_balanced,3,2011-08-01,2014-08-01,0.019647779757075767,0.4426875180792113,0.04638136465696527,-0.05284435571546697,0.3520319704312053
ensemble_risk_balanced,3,2011-08-30,2014-09-02,0.019393114972105607,0.4646831799922853,0.04335796194995934,-0.05284435571546631,0.35281501147896166
