kind,label,start,end,n_days,shares_vs_mom12,mbr_vs_rest_shares,both_m_vs_rest_shares,c1_vs_mom12,c1_vs_ew
roll_3y,3y_2019-02-19_2022-03-28,2019-02-19,2022-03-28,756,0.0069279335308557784,0.010532770066386674,-0.019616901484970556,0.04965949447330945,0.07598438134611087
roll_3y,3y_2019-05-23_2022-07-01,2019-05-23,2022-07-01,756,-0.00018015473187711628,0.009601343093646186,-0.019510661332788642,0.034818183003851824,0.0679967129569131
roll_3y,3y_2019-08-21_2022-09-29,2019-08-21,2022-09-29,756,-0.0033243217313042974,0.012221616044637363,0.007380514543733817,0.02947279029268206,0.07665100012102058
roll_3y,3y_2019-11-26_2023-01-04,2019-11-26,2023-01-04,756,-0.017272204052055762,0.028730098183247187,0.0034261085153628095,-0.01384713558135293,0.04758588910180104
roll_3y,3y_2020-03-03_2023-04-11,2020-03-03,2023-04-11,756,-0.008235760485611424,0.0006012521226266831,0.008444888302409626,-0.014753385061114085,0.03479298517904028
roll_3y,3y_2020-06-04_2023-07-14,2020-06-04,2023-07-14,756,-0.008240839414118859,-0.03812129697912607,-0.00214997155078227,-0.028053844734178195,0.020480182319993007
roll_3y,3y_2020-09-03_2023-10-19,2020-09-03,2023-10-19,756,0.010510248695230382,-0.02620329187788085,0.0007001750757544625,0.01031503045218375,0.03225770946399678
roll_3y,3y_2020-12-09_2024-01-17,2020-12-09,2024-01-17,756,0.020525528323637243,-0.013438495816275771,-0.0022453482038695244,0.0482781499052414,0.0592197562009247
roll_3y,3y_2021-03-16_2024-04-25,2021-03-16,2024-04-25,756,-0.04627882768310285,0.00468152271974238,0.021672613515962242,-0.0016867096866338808,0.05462060062378823
roll_3y,3y_2021-06-18_2024-07-29,2021-06-18,2024-07-29,756,-0.09752580059670499,0.0022391198246449794,0.043844677897024655,-0.030686358892989138,0.0746379195940687
roll_3y,3y_2021-09-15_2024-11-04,2021-09-15,2024-11-04,756,-0.012453894780250396,0.02162805435166246,0.10557016039319375,-0.007535419336685538,-0.03878525745908033
roll_3y,3y_2021-12-22_2025-02-10,2021-12-22,2025-02-10,756,-0.002178997204192161,0.0072947727809529045,0.08523901566567398,0.0048725958418997725,-0.021206374916116027
roll_3y,3y_2022-03-29_2025-05-14,2022-03-29,2025-05-14,756,-0.0072921589770322676,0.006731887302043803,0.07557857286808159,0.004950078207463913,-0.027982019137971367
roll_3y,3y_2022-07-04_2025-08-12,2022-07-04,2025-08-12,756,-0.004071141657105612,-0.007844844754044195,0.05402227178137821,0.002903302661744045,-0.0245390342725038
roll_3y,3y_2022-09-30_2025-11-17,2022-09-30,2025-11-17,756,0.017803797572656765,0.020718969648191796,0.058082412562310635,0.013984880851210295,-0.02552118353688383
roll_3y,3y_2023-01-05_2026-02-24,2023-01-05,2026-02-24,756,-0.010844015300907672,0.024587773085371543,0.10091378849350621,0.04221481834463129,0.023777015914803135
roll_3y,3y_2023-04-12_2026-05-28,2023-04-12,2026-05-28,756,-0.03464039752590171,0.05460672881890716,0.11887465557713661,0.030504888061784863,0.025788349806954953
expanding,exp_2006-03-09,2005-02-23,2006-03-09,253,0.0,0.0,0.0,0.0,0.0
expanding,exp_2006-09-08,2005-02-23,2006-09-08,379,0.0,0.0,0.0,0.0,0.0
expanding,exp_2007-03-22,2005-02-23,2007-03-22,505,0.0,0.0,0.0,0.0,0.0
expanding,exp_2007-09-21,2005-02-23,2007-09-21,631,0.0,0.0,0.0,0.0,0.0
expanding,exp_2008-04-02,2005-02-23,2008-04-02,757,0.0,0.0,0.0,0.0,0.0
expanding,exp_2008-10-09,2005-02-23,2008-10-09,883,0.0,0.0,0.0,0.0,0.0
expanding,exp_2009-04-15,2005-02-23,2009-04-15,1009,0.0,0.0,0.0,0.0,0.0
expanding,exp_2009-10-21,2005-02-23,2009-10-21,1135,0.0,0.0,0.0,0.0,0.0
expanding,exp_2010-04-26,2005-02-23,2010-04-26,1261,0.0,0.0,0.0,0.0,0.0
expanding,exp_2010-11-04,2005-02-23,2010-11-04,1387,0.0,0.0,0.0,0.0,0.0
expanding,exp_2011-05-12,2005-02-23,2011-05-12,1513,0.0,0.0,0.0,0.0,0.0
expanding,exp_2011-11-15,2005-02-23,2011-11-15,1639,0.0,0.0,0.0,0.0,0.0
expanding,exp_2012-05-25,2005-02-23,2012-05-25,1765,0.0,0.0,0.0,0.0,0.0
expanding,exp_2012-11-27,2005-02-23,2012-11-27,1891,0.0,0.0,0.0,0.0,0.0
expanding,exp_2013-06-13,2005-02-23,2013-06-13,2017,0.0,0.0,0.0,0.0,0.0
expanding,exp_2013-12-17,2005-02-23,2013-12-17,2143,-0.004823336388337457,0.0,0.0,-0.004823336388337457,-0.00276658692743458
expanding,exp_2014-06-25,2005-02-23,2014-06-25,2269,-0.01950179140765455,-7.640599104901268e-05,-0.0013703975148435462,-0.022357599365968605,-0.014793854948112216
expanding,exp_2014-12-26,2005-02-23,2014-12-26,2395,-0.02460333021477313,-0.0008691925339876127,-0.004047562232069499,-0.00989372098588127,0.0014014869622861435
expanding,exp_2015-07-06,2005-02-23,2015-07-06,2521,-0.021683681128822126,-0.00041220102940140655,-0.0038564297240361927,-0.0071633119094307455,0.002369272970856603
expanding,exp_2016-01-08,2005-02-23,2016-01-08,2647,-0.02141938864143234,0.0006321823795559579,-0.0031399183173339384,-0.00480158512327231,0.002037519604444633
expanding,exp_2016-07-15,2005-02-23,2016-07-15,2773,-0.018079991769456186,-0.0021734401369584155,-0.001961223763229305,-0.004506437188317589,6.507456019372036e-05
expanding,exp_2017-01-19,2005-02-23,2017-01-19,2899,-0.013703583730274098,-0.0038018931073157953,-0.003617390151706511,-0.005680370856336726,-0.001702344257337618
expanding,exp_2017-07-28,2005-02-23,2017-07-28,3025,-0.023710210006327503,0.004430884605957747,0.0031572573681985534,-0.012222910208761331,-0.002864996066592177
expanding,exp_2018-01-30,2005-02-23,2018-01-30,3151,-0.025859086092454978,-0.0007394710713478247,-0.002209013551894775,-0.016734434680363872,-0.00020821875330318988
expanding,exp_2018-08-08,2005-02-23,2018-08-08,3277,-0.01927291135577482,-0.004761981219421077,-0.0045481082561884805,-0.0164634716023709,0.000497882835383102
expanding,exp_2019-02-19,2005-02-23,2019-02-19,3403,-0.016544346488775934,-0.002788879327772434,-0.0017772202638334576,-0.013936177065697488,0.0008239522216978279
expanding,exp_2019-08-21,2005-02-23,2019-08-21,3529,-0.014238354122521628,-0.0020090572690068943,-0.0027001887623717353,-0.010218109598175588,0.0018624622954571373
expanding,exp_2020-03-03,2005-02-23,2020-03-03,3655,-0.008323914946105194,-0.002241036553257867,-0.0027378816029415103,-0.0015004804280519437,0.007198695044538369
expanding,exp_2020-09-03,2005-02-23,2020-09-03,3781,-0.009664867381654795,-0.0025453130137208383,-0.004523911662693278,-0.0032386724639571667,0.007957863680989226
expanding,exp_2021-03-16,2005-02-23,2021-03-16,3907,-0.009786246222172059,-0.003945031448561051,-0.004046354712073357,-0.004596408302613379,0.00964330319556654
expanding,exp_2021-09-15,2005-02-23,2021-09-15,4033,-0.012287556329640213,-0.006651398110646649,-0.00818925629484295,-0.008059351184255936,0.011907253064138819
expanding,exp_2022-03-29,2005-02-23,2022-03-29,4159,-0.012388209618978364,-0.0003276461086661317,-0.004918741937700274,-0.0023800890760566095,0.014557231215650718
expanding,exp_2022-09-30,2005-02-23,2022-09-30,4285,-0.011574082396060639,0.00027496686022352584,-0.0004556055880653581,-0.0023158563134721456,0.01557560816329011
