signal_date,execution_date,symbol,weight
2017-09-29,2017-10-02,ADSK,0.025
2017-09-29,2017-10-02,DGX,0.025
2017-09-29,2017-10-02,ADI,0.025
2017-09-29,2017-10-02,APTV,0.025
2017-09-29,2017-10-02,BAX,0.025
2017-09-29,2017-10-02,BBY,0.025
2017-09-29,2017-10-02,CAT,0.025
2017-09-29,2017-10-02,AVGO,0.025
2017-09-29,2017-10-02,BA,0.025
2017-09-29,2017-10-02,CHTR,0.025
2017-09-29,2017-10-02,CBOE,0.025
2017-09-29,2017-10-02,CCL,0.025
2017-09-29,2017-10-02,CMI,0.025
2017-09-29,2017-10-02,CBRE,0.025
2017-09-29,2017-10-02,AMAT,0.025
2017-09-29,2017-10-02,CDNS,0.025
2017-09-29,2017-10-02,CRM,0.025
2017-09-29,2017-10-02,AMT,0.025
2017-09-29,2017-10-02,CNC,0.025
2017-09-29,2017-10-02,CTSH,0.025
2017-10-31,2017-11-01,AMP,0.025
2017-10-31,2017-11-01,CNC,0.025
2017-10-31,2017-11-01,COO,0.025
2017-10-31,2017-11-01,CI,0.025
2017-10-31,2017-11-01,C,0.025
2017-10-31,2017-11-01,CFG,0.025
2017-10-31,2017-11-01,ADBE,0.025
2017-10-31,2017-11-01,ALL,0.025
2017-10-31,2017-11-01,BAC,0.025
2017-10-31,2017-11-01,AMD,0.025
2017-10-31,2017-11-01,AME,0.025
2017-10-31,2017-11-01,A,0.025
2017-10-31,2017-11-01,AAPL,0.025
2017-10-31,2017-11-01,CSX,0.025
2017-10-31,2017-11-01,DE,0.025
2017-10-31,2017-11-01,ALGN,0.025
2017-10-31,2017-11-01,ALB,0.025
2017-10-31,2017-11-01,AXP,0.025
2017-10-31,2017-11-01,ADSK,0.025
2017-10-31,2017-11-01,ADI,0.025
2017-10-31,2017-11-01,APTV,0.025
2017-10-31,2017-11-01,BBY,0.025
2017-10-31,2017-11-01,CAT,0.025
2017-10-31,2017-11-01,AVGO,0.025
2017-10-31,2017-11-01,BA,0.025
2017-10-31,2017-11-01,CHTR,0.025
2017-10-31,2017-11-01,CBOE,0.025
2017-10-31,2017-11-01,CDNS,0.025
2017-10-31,2017-11-01,CTSH,0.025
2017-10-31,2017-11-01,CBRE,0.025
2017-10-31,2017-11-01,AMAT,0.025
2017-10-31,2017-11-01,ABBV,0.025
2017-10-31,2017-11-01,CF,0.025
2017-10-31,2017-11-01,AVY,0.025
2017-10-31,2017-11-01,CME,0.025
2017-10-31,2017-11-01,DOV,0.025
2017-10-31,2017-11-01,DHI,0.025
2017-10-31,2017-11-01,ABT,0.025
2017-10-31,2017-11-01,CTAS,0.025
2017-10-31,2017-11-01,ALLE,0.025
2017-11-30,2017-12-01,CF,0.025
2017-11-30,2017-12-01,AMP,0.025
2017-11-30,2017-12-01,CNC,0.025
2017-11-30,2017-12-01,COO,0.025
2017-11-30,2017-12-01,CI,0.025
2017-11-30,2017-12-01,AVY,0.025
2017-11-30,2017-12-01,C,0.025
2017-11-30,2017-12-01,ADBE,0.025
2017-11-30,2017-12-01,ALL,0.025
2017-11-30,2017-12-01,DOV,0.025
2017-11-30,2017-12-01,BAC,0.025
2017-11-30,2017-12-01,ABT,0.025
2017-11-30,2017-12-01,AME,0.025
2017-11-30,2017-12-01,A,0.025
2017-11-30,2017-12-01,AAPL,0.025
2017-11-30,2017-12-01,CSX,0.025
2017-11-30,2017-12-01,DE,0.025
2017-11-30,2017-12-01,ALGN,0.025
2017-11-30,2017-12-01,ALB,0.025
2017-11-30,2017-12-01,AXP,0.025
2017-11-30,2017-12-01,ADSK,0.025
2017-11-30,2017-12-01,APTV,0.025
2017-11-30,2017-12-01,CAT,0.025
2017-11-30,2017-12-01,AVGO,0.025
2017-11-30,2017-12-01,BA,0.025
2017-11-30,2017-12-01,CBOE,0.025
2017-11-30,2017-12-01,DHI,0.025
2017-11-30,2017-12-01,ABBV,0.025
2017-11-30,2017-12-01,CDNS,0.025
2017-11-30,2017-12-01,CTSH,0.025
2017-11-30,2017-12-01,CBRE,0.025
2017-11-30,2017-12-01,AMAT,0.025
2017-11-30,2017-12-01,AMZN,0.025
2017-11-30,2017-12-01,BAX,0.025
2017-11-30,2017-12-01,AMT,0.025
2017-11-30,2017-12-01,CRM,0.025
2017-11-30,2017-12-01,BSX,0.025
2017-11-30,2017-12-01,CCI,0.025
2017-11-30,2017-12-01,DLR,0.025
2017-11-30,2017-12-01,CCL,0.025
2017-12-29,2018-01-02,AMP,0.025
2017-12-29,2018-01-02,CNC,0.025
2017-12-29,2018-01-02,COO,0.025
2017-12-29,2018-01-02,CI,0.025
2017-12-29,2018-01-02,AVY,0.025
2017-12-29,2018-01-02,ADBE,0.025
2017-12-29,2018-01-02,ALL,0.025
2017-12-29,2018-01-02,CRM,0.025
2017-12-29,2018-01-02,ABT,0.025
2017-12-29,2018-01-02,AME,0.025
