sample,periods,annual_return,annual_volatility,sharpe,sortino,calmar,max_drawdown,total_return,win_rate,best_period,worst_period,average_turnover,strict_b_exposure,cash_exposure,condition_switches,longest_cash_periods,annual_return_vs_always,max_drawdown_improvement_vs_always,transition_cost_drag,signal_available_ratio,result_type,condition,mode,state_family,state,months,mean_monthly_return,return_contribution,etf_code,status,start,end,calibration_days,tracking_error_2018,mean_daily_amount,selected,fund_name,tracked_index,management_fee_annual,custody_fee_annual,fee_source,price_series_treatment,market_series,market_code,rows
in_sample,66.0,0.11900338588847359,0.1342191316300441,0.8866350455648117,1.4013003309655496,0.8487740930596743,-0.14020619486568953,0.8559774848418142,0.5909090909090909,0.10856306383934286,-0.09900843696827702,0.2569696969696969,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,performance,D_ret120,Always,,,,,,,,,,,,,,,,,,,,,,
out_of_sample,24.0,0.03825407026150773,0.13080735517315784,0.2924458659902453,0.5850201235570905,0.4014818072185826,-0.09528220102058249,0.07797151441458783,0.4583333333333333,0.1321289072006305,-0.058271618083638906,0.2958333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,performance,D_ret120,Always,,,,,,,,,,,,,,,,,,,,,,
all_sample,90.0,0.06856544809564635,0.08936244168876559,0.7672736644153964,1.0336415673429769,0.9783444886329059,-0.07008313420506573,0.6444037337122515,0.25555555555555554,0.1321289072006305,-0.0700831342050659,0.256,0.4,0.6,15.0,15.0,-0.028310040876592835,0.07012306066062379,0.014399999999999998,1.0,performance,D_ret120,Cash,,,,,,,,,,,,,,,,,,,,,,
in_sample,66.0,0.07053611910317414,0.08412068742495991,0.838510968732823,1.154288121820004,1.006463536530529,-0.07008313420506573,0.4548133765490143,0.2878787878787879,0.08711345100578147,-0.0700831342050659,0.28363636363636363,0.4696969696969697,0.5303030303030303,12.0,15.0,-0.048467266785299445,0.07012306066062379,0.011319999999999998,1.0,performance,D_ret120,Cash,,,,,,,,,,,,,,,,,,,,,,
out_of_sample,24.0,0.06316478788312097,0.10440729876486911,0.6049844084691003,0.5876536108235743,1.1475490427775197,-0.05504321430153203,0.13031936619456141,0.16666666666666666,0.1321289072006305,-0.055043214301532084,0.18000000000000002,0.20833333333333334,0.7916666666666666,3.0,12.0,0.024910717621613232,0.04023898671905046,0.00308,1.0,performance,D_ret120,Cash,,,,,,,,,,,,,,,,,,,,,,
all_sample,90.0,0.14673453353187949,0.1942748090701593,0.7552936700037555,1.1977981465935699,0.8086788304600383,-0.18144970290418716,1.7923617800588687,0.5555555555555556,0.1545233189735904,-0.15200000000000002,0.42266666666666675,0.4,0.0,15.0,0.0,0.0498590445596403,-0.041243508038497634,0.0264,1.0,performance,D_ret120,BenchmarkETF,,,,,,,,,,,,,,,,,,,,,,
in_sample,66.0,0.10760693254192422,0.18012102804795946,0.5974146034369321,0.9157014071035166,0.5930400040321094,-0.18144970290418716,0.7543698673273753,0.5151515151515151,0.1545233189735904,-0.15200000000000002,0.4654545454545455,0.4696969696969697,0.0,12.0,0.0,-0.011396453346549373,-0.041243508038497634,0.02092,1.0,performance,D_ret120,BenchmarkETF,,,,,,,,,,,,,,,,,,,,,,
out_of_sample,24.0,0.2616104070250076,0.23040448036301808,1.135439756261781,2.0080039587453156,2.140894154867568,-0.12219679633867297,0.5916608191138051,0.6666666666666666,0.1321289072006305,-0.12219679633867286,0.305,0.20833333333333334,0.0,3.0,0.0,0.22335633676349986,-0.026914595318090484,0.00548,1.0,performance,D_ret120,BenchmarkETF,,,,,,,,,,,,,,,,,,,,,,
all_sample,90.0,0.1485376138665222,0.19433037549594784,0.7643561305711546,1.2075006590515436,0.8186159111263803,-0.18144970290418716,1.8254600412209618,0.5666666666666667,0.1545233189735904,-0.15200000000000002,0.256,0.4,0.0,15.0,0.0,0.05166212489428301,-0.041243508038497634,0.014399999999999998,1.0,performance,D_ret120,BenchmarkIndexUpperBound,,,,,,,,,,,,,,,,,,,,,,
in_sample,66.0,0.10951012713746655,0.18020235138326215,0.6077064272294409,0.925401879433914,0.6035288313218807,-0.18144970290418716,0.7710139763294206,0.5303030303030303,0.1545233189735904,-0.15200000000000002,0.28363636363636363,0.4696969696969697,0.0,12.0,0.0,-0.009493258751007039,-0.041243508038497634,0.011319999999999998,1.0,performance,D_ret120,BenchmarkIndexUpperBound,,,,,,,,,,,,,,,,,,,,,,
