date,gross_return,cost,net_return,n_holdings,exposure,equity_gross,equity_net
2024-08-29,0.007857860689615144,0.0,0.007857860689615144,40,1.0,4.410100559455923,4.385904210200162
2024-08-30,0.01030487949303447,0.0,0.01030487949303447,40,1.0,4.455546114273281,4.431100424554267
2024-09-03,-0.01573269507065344,7.187226546807999e-05,-0.015804567336121518,40,1.0,4.3854483658841845,4.3610687995212825
2024-09-04,0.0019361485443935129,0.0,0.0019361485443935129,40,1.0,4.3939392453543045,4.369512476529476
2024-09-05,-0.006400351399230564,0.0,-0.006400351399230564,40,1.0,4.365816490157167,4.3415460612363646
2024-09-06,-0.01582036144064911,0.0,-0.01582036144064911,40,1.0,4.296747695299334,4.2728612333363785
2024-09-09,0.014056441420015466,0.0,0.014056441420015466,40,1.0,4.3571446775748965,4.332922456958626
2024-09-10,0.004410087202429672,0.0,0.004410087202429672,40,1.0,4.376360065556605,4.35203102283518
2024-09-11,0.00816197373300402,0.0,0.00816197373300402,40,1.0,4.412079801457845,4.38755218572878
2024-09-12,0.005976271632795053,0.0,0.005976271632795053,40,1.0,4.438447588816926,4.41377338939376
2024-09-13,0.007660154192254331,0.0,0.007660154192254331,40,1.0,4.472446781721503,4.447583574126185
2024-09-16,0.005497394700466793,0.0,0.005497394700466793,40,1.0,4.497033586957459,4.472033696496469
2024-09-17,0.000884338720927377,0.0,0.000884338720927377,40,1.0,4.501010487887716,4.475988489055573
2024-09-18,-0.006061093397699136,0.0,-0.006061093397699136,40,1.0,4.473729442936605,4.448859104776381
2024-09-19,0.012295522455940061,0.0,0.012295522455940061,40,1.0,4.528736283764032,4.503560151802472
2024-09-20,-0.0025979964290568343,0.0,-0.0025979964290568343,40,1.0,4.516970643070674,4.4918599186100465
2024-09-23,0.006208071261584109,0.0,0.006208071261584109,40,1.0,4.5450123187093405,4.5197457050818315
2024-09-24,0.000171463930971913,0.0,0.000171463930971913,40,1.0,4.545791624387823,4.520520678447419
2024-09-25,-0.002680925729898912,0.0,-0.002680925729898912,40,1.0,4.5336046946592425,4.508401498248029
2024-09-26,0.009712349447364923,0.0,0.009712349447364923,40,1.0,4.577636647709988,4.5521886690480375
2024-09-27,0.00039487277808676917,0.0,0.00039487277808676917,40,1.0,4.5794442318101405,4.5539862044341595
2024-09-30,0.0033090900636615415,0.0,0.0033090900636615415,40,1.0,4.594598025214716,4.569055754933305
2024-10-01,-0.006758599514653932,3.5731233082378275e-05,-0.006794330747736311,40,1.0,4.56354497723147,4.53801207892944
2024-10-02,0.0005840897162926934,0.0,0.0005840897162926934,40,1.0,4.566210496922511,4.540662685117155
2024-10-03,-0.005138607746801744,0.0,-0.005138607746801744,40,1.0,4.542746532289498,4.5173300006677986
2024-10-04,0.008485612248519509,0.0,0.008485612248519509,40,1.0,4.581294517905813,4.55566231145207
2024-10-07,-0.01439127533303638,0.0,-0.01439127533303638,40,1.0,4.5153638471169,4.490100520803626
2024-10-08,0.006862341942284866,0.0,0.006862341942284866,40,1.0,4.546349817829647,4.520913125932612
2024-10-09,0.007460182441491613,0.0,0.007460182441491613,40,1.0,4.580266416913498,4.554639962654204
2024-10-10,-0.004910607053131267,0.0,-0.004910607053131267,40,1.0,4.557774528341382,4.532273915529121
2024-10-11,0.008617074102008,0.0,0.008617074102008,40,1.0,4.5970492091923445,4.571328855709833
2024-10-14,0.00722102378365524,0.0,0.00722102378365524,40,1.0,4.630244610866556,4.604338530099823
2024-10-15,-0.0066395364588443485,0.0,-0.0066395364588443485,40,1.0,4.59950193295934,4.573767856560363
2024-10-16,0.004158032917361204,0.0,0.004158032917361204,40,1.0,4.618626813400051,4.59278573386431
2024-10-17,4.693026733351181e-05,0.0,4.693026733351181e-05,40,1.0,4.618843566791118,4.593001274526606
2024-10-18,0.0014804879493221903,0.0,0.0014804879493221903,40,1.0,4.625681709031556,4.599801157564764
2024-10-21,-0.007852293563051147,0.0,-0.007852293563051147,40,1.0,4.589359498323004,4.563682168543903
2024-10-22,-0.004616329928205565,0.0,-0.004616329928205565,40,1.0,4.568173500719601,4.542614705966436
