asof,portfolio_id,event,side,symbol,shares,price,notional,commission,spread_bps_cost,theoretical_weight,theoretical_shares,nav,cash,theoretical_weights,final_weights
2007-09-04,traditional_60_40_ief,PARTIAL_FILL,BUY,SPY,2.376758997565662,103.97690153493042,247.12803626214475,1.0,0.12356401813107236,0.6,693.4988020710783,,,,
2007-09-04,traditional_60_40_ief,REBALANCE_SUMMARY,,,"{'SPY': 693.4770655079564, 'IEF': 917.0457030279096}",,,,,,,120177.51287920607,0.011883794987795682,"{'SPY': 0.6, 'IEF': 0.4}","{'IEF': 0.4000074829862413, 'SPY': 0.5999924181284124}"
2007-10-01,traditional_60_40_ief,FILL,SELL,SPY,-10.299588038794354,108.11894927262323,1113.5806366953238,1.0,0.5567903183476619,0.6,683.177477469162,,,,
2007-10-01,traditional_60_40_ief,PARTIAL_FILL,BUY,IEF,21.156823391369066,52.48305655983531,1110.3747586756695,1.0,0.5551873793378347,0.4,938.263836907378,,,,
2007-10-01,traditional_60_40_ief,REBALANCE_SUMMARY,,,"{'SPY': 683.177477469162, 'IEF': 938.2025264192786}",,,,,,,123104.27307344734,0.10578411695678369,"{'SPY': 0.6, 'IEF': 0.4}","{'IEF': 0.39998397317423434, 'SPY': 0.6000151675207691}"
2007-11-01,traditional_60_40_ief,FILL,SELL,IEF,-4.148486072166634,53.115354066247576,220.34830656202743,1.0,0.11017415328101372,0.4,934.0540403471119,,,,
2007-11-01,traditional_60_40_ief,PARTIAL_FILL,BUY,SPY,2.0092901447283853,108.60788735199367,218.22475769613152,1.0,0.10911237884806577,0.6,685.2072940511243,,,,
2007-11-01,traditional_60_40_ief,REBALANCE_SUMMARY,,,"{'SPY': 685.1867676138904, 'IEF': 934.0540403471119}",,,,,,,124029.30838858275,0.010046450723621092,"{'SPY': 0.6, 'IEF': 0.4}","{'IEF': 0.40000715729712905, 'SPY': 0.5999927617022521}"
2007-12-03,traditional_60_40_ief,FILL,SELL,IEF,-43.237740697500385,55.639251795148716,2405.715541721573,1.0,1.2028577708607866,0.4,890.8162996496116,,,,
2007-12-03,traditional_60_40_ief,PARTIAL_FILL,BUY,SPY,22.869855859144618,104.9944429917948,2401.2077772335238,1.0,1.2006038886167618,0.6,708.0996525211451,,,,
2007-12-03,traditional_60_40_ief,REBALANCE_SUMMARY,,,"{'SPY': 708.0566234730351, 'IEF': 890.8162996496116}",,,,,,,123906.47753690898,0.11434927929576588,"{'SPY': 0.6, 'IEF': 0.4}","{'IEF': 0.40001421543650345, 'SPY': 0.5999848616958502}"
2008-01-02,traditional_60_40_ief,FILL,SELL,SPY,-0.6834963689269671,104.36929279848162,71.33603265523764,1.0,0.035668016327618825,0.6,707.3731271041081,,,,
2008-01-02,traditional_60_40_ief,PARTIAL_FILL,BUY,IEF,1.2574309443308795,55.1710137294684,69.37373989353738,1.0,0.034686869946768686,0.4,892.111370686096,,,,
2008-01-02,traditional_60_40_ief,REBALANCE_SUMMARY,,,"{'SPY': 707.3731271041081, 'IEF': 892.0737305939424}",,,,,,,123044.65134595743,0.0062871547216474255,"{'SPY': 0.6, 'IEF': 0.4}","{'IEF': 0.39998985327624703, 'SPY': 0.6000100956272229}"
2008-02-01,traditional_60_40_ief,FILL,SELL,IEF,-49.945987615961485,57.28441859896835,2861.126861931627,1.0,1.4305634309658135,0.4,842.1277429779809,,,,
2008-02-01,traditional_60_40_ief,PARTIAL_FILL,BUY,SPY,29.069743334022316,98.25092500936576,2856.129172352537,1.0,1.4280645861762684,0.6,736.4938010195303,,,,
2008-02-01,traditional_60_40_ief,REBALANCE_SUMMARY,,,"{'SPY': 736.4428704381304, 'IEF': 842.1277429779809}",,,,,,,120597.13672837056,0.1453487166695595,"{'SPY': 0.6, 'IEF': 0.4}","{'IEF': 0.40001611523506764, 'SPY': 0.5999826795230783}"
2008-03-03,traditional_60_40_ief,FILL,SELL,IEF,-20.465465331244786,57.621177461278855,1179.2442096793059,1.0,0.5896221048396529,0.4,821.6622776467361,,,,
2008-03-03,traditional_60_40_ief,PARTIAL_FILL,BUY,SPY,12.402460686508164,94.83197558873371,1176.1498490631718,1.0,0.5880749245315859,0.6,748.8794937508275,,,,
2008-03-03,traditional_60_40_ief,REBALANCE_SUMMARY,,,"{'SPY': 748.8453311246385, 'IEF': 821.6622776467361}",,,,,,,118359.69208677352,0.062012303432311455,"{'SPY': 0.6, 'IEF': 0.4}","{'IEF': 0.4000107391189462, 'SPY': 0.5999887369501249}"
