asof,portfolio_id,event,symbol,target_weight,lookthrough_targets,side,shares,price,notional,commission,spread_bps_cost,theoretical_weight,theoretical_shares,nav,cash,theoretical_weights,final_weights,need
2007-10-01,candidate_80_20_dc,FILL,VWO,,"{'SPY': 0.8, 'VWO': 0.1, 'QQQ': 0.1}",SELL,-34.88908019915601,31.007365756871003,1081.8184706560362,1.0,0.540909235328018,0.1,430.50895452587986,,,,,
2007-10-01,candidate_80_20_dc,FILL,QQQ,,"{'SPY': 0.8, 'VWO': 0.1, 'QQQ': 0.1}",SELL,-0.40122261621513644,44.15665148410335,17.71664723175193,1.0,0.008858323615875966,0.1,302.30889720878866,,,,,
2007-10-01,candidate_80_20_dc,PARTIAL_FILL,SPY,,"{'SPY': 0.8, 'VWO': 0.1, 'QQQ': 0.1}",BUY,10.131776908578717,108.11894927262323,1095.4370736201577,1.0,0.5477185368100789,0.8,987.7231478402603,,,,,
2007-10-01,candidate_80_20_dc,REBALANCE_SUMMARY,,,"{'SPY': 0.8, 'VWO': 0.1, 'QQQ': 0.1}",,"{'SPY': 987.6847813466138, 'VWO': 430.50895452587986, 'QQQ': 302.30889720878866}",,,,,,,133485.38865982526,0.05065888454259948,"{'SPY': 0.8, 'VWO': 0.1, 'QQQ': 0.1}","{'VWO': 0.1000030696139382, 'SPY': 0.7999934812632871, 'QQQ': 0.10000306961393822}",
2007-11-01,candidate_80_20_dc,FILL,VWO,,"{'SPY': 0.8, 'VWO': 0.1, 'GLD': 0.1}",SELL,-27.706686428331636,33.76148347759059,935.4188360689019,1.0,0.46770941803445093,0.1,402.8022680975482,,,,,
2007-11-01,candidate_80_20_dc,FILL,QQQ,,"{'SPY': 0.8, 'VWO': 0.1, 'GLD': 0.1}",SELL,-302.30889720878866,46.92879447566951,14186.992105277544,1.5115444860439433,7.093496052638772,0.0,0.0,,,,,
2007-11-01,candidate_80_20_dc,FILL,SPY,,"{'SPY': 0.8, 'VWO': 0.1, 'GLD': 0.1}",BUY,14.02531177300932,108.60788735199367,1523.259481119587,1.0,0.7616297405597935,0.8,1001.7100931196231,,,,,
2007-11-01,candidate_80_20_dc,PARTIAL_FILL,GLD,,"{'SPY': 0.8, 'VWO': 0.1, 'GLD': 0.1}",BUY,173.19785879648245,78.4000015258789,13578.712393923184,1.0,6.7893561969615925,0.1,173.45920732695973,,,,,
2007-11-01,candidate_80_20_dc,REBALANCE_SUMMARY,,,"{'SPY': 0.8, 'VWO': 0.1, 'GLD': 0.1}",,"{'SPY': 1001.7100931196231, 'VWO': 402.8022680975482, 'GLD': 173.19785879648245}",,,,,,,135972.39745521967,0.86598929397951,"{'SPY': 0.8, 'VWO': 0.1, 'GLD': 0.1}","{'VWO': 0.10001443214671615, 'GLD': 0.09986374181859312, 'SPY': 0.8001154571737292}",
2007-12-03,candidate_80_20_dc,FILL,SPY,,"{'SPY': 0.8, 'VWO': 0.1, 'GLD': 0.1}",SELL,-0.5280520732835612,104.9944429917948,55.442533305069915,1.0,0.027721266652534955,0.8,1001.1820410463396,,,,,
2007-12-03,candidate_80_20_dc,FILL,GLD,,"{'SPY': 0.8, 'VWO': 0.1, 'GLD': 0.1}",SELL,-3.4108198345898586,77.38999938964844,263.96334491710996,1.0,0.13198167245855497,0.1,169.7870389618926,,,,,
2007-12-03,candidate_80_20_dc,PARTIAL_FILL,VWO,,"{'SPY': 0.8, 'VWO': 0.1, 'GLD': 0.1}",BUY,9.95742050970253,31.825905635194594,316.903925511744,1.0,0.158451962755872,0.1,412.86551252450295,,,,,
